wii	In representations of various accents: with.
jukebox	a machine that automatically plays a selected musical recording when a coin is inserted.
Margarita	a cocktail made with tequila and citrus fruit juice
tastes	the sensation of flavour perceived in the mouth and throat on contact with a substance a person's liking for particular flavours the ability to discern what is of good quality or of a high aesthetic standard
sake list	A (notional or real) list of people or things regarded with hostility, enmity, or hatred. (In weakened use, especially humorously) a (notional or real) list of people or things regarded as irritating, annoying, or otherwise objectionable.
Steak	high-quality beef taken from the hindquarters of the animal, typically cut into thick slices that are cooked by grilling or frying
spinach	an edible Asian plant of the goosefoot family, with large dark green leaves which are widely eaten as a vegetable.
dim sum orders	(of a light, colour, or illuminated object) not shining brightly or clearly not clearly recalled or formulated in the mind stupid or slow to understand [SEP] a particular amount of money the total amount resulting from the addition of two or more numbers, amounts, or items an arithmetical problem, especially at an elementary level [SEP] commands must be obeyed, however much one may disagree with them
wine menu	not found
Sea Urchin	a marine echinoderm having a spherical or flattened shell covered in mobile spines, with a mouth on the underside and calcareous jaws.
waterbugs	a large African antelope occurring near rivers and lakes in the savannah.
chutneys	a spicy condiment of Indian origin, made of fruits or vegetables with vinegar, spices, and sugar
fried dumplings	a small savoury ball of dough (usually made with suet) which may be boiled, fried, or baked in a casserole. a small, fat person
BBQ ribs	barbecue [SEP] closely trimmed ribs of pork.
Argentinian Pizza	relating to Argentina or its people. [SEP] a dish of Italian origin, consisting of a flat round base of dough baked with a topping of tomatoes and cheese, typically with added meat, fish, or vegetables
kamasutra	an ancient Sanskrit treatise on the art of love and sexual technique.
date spot	a dark or discoloured patch of skin of a type associated with ageing, such as a liver spot or sunspot
Seating	the seats with which a building or room is provided an instance or time of making seats available to customers at a restaurant or performance venue
steak dish	A disc engine powered by steam.
food spot	(More fully "gold spot moth") a Eurasian noctuid moth, Plusia festucae, having reddish-brown and golden-yellow forewings with two silvery-white spots.
somosas	a process by which molecules of a solvent tend to pass through a semipermeable membrane from a less concentrated solution into a more concentrated one. the process of gradual or unconscious assimilation of ideas, knowledge, etc.
palak paneer	spinach [SEP] a type of milk curd cheese used in Indian, Iranian, and Afghan cooking.
bottle	a glass or plastic container with a narrow neck, used for storing drinks or other liquids the courage or confidence needed to do something difficult or dangerous
